Designator,Mid X,Mid Y,Rotation,Layer
L102,67.15,76.65,270.0,bottom
L201,19.2,67.275,270.0,bottom
L401,74.0,69.0625,270.0,bottom
L501,10.4,74.775,270.0,bottom
L901,49.25,80.626671,180.0,bottom
M401,54.49,97.0475,0.0,bottom
Q101,66.9625,67.35,180.0,bottom
Q102,74.9,24.85,90.0,top
Q103,75.5,24.6,270.0,bottom
Q104,73.06,39.505,180.0,top
Q105,66.1,17.0,90.0,bottom
Q106,62.6,17.0,90.0,bottom
Q107,67.4,24.85,90.0,top
Q1401,65.1,83.2,90.0,bottom
Q301,19.525,25.625,180.0,top
Q302,23.3,20.3,270.0,bottom
Q303,26.96,39.505,180.0,top
Q304,28.6,25.6375,0.0,top
Q501,8.275,64.6,180.0,bottom
Q801,12.65,21.4,90.0,bottom
Q802,3.0,24.1,90.0,bottom
Q901,8.2,82.8,270.0,bottom
R1001,27.5,72.9,180.0,bottom
R1002,30.6,72.9,180.0,bottom
R1003,1.2,86.3,270.0,bottom
R1004,3.1,86.275,270.0,bottom
R101,75.9,81.2,0.0,bottom
R102,89.7,37.2,270.0,bottom
R103,82.5,37.2,270.0,bottom
R104,91.6,47.1,180.0,bottom
R105,83.7,47.1,0.0,bottom
R106,90.8,28.7,180.0,bottom
R107,81.3,28.7,0.0,bottom
R108,75.9,82.7,180.0,bottom
R109,66.8,71.7,0.0,bottom
R112,83.7,25.9,270.0,bottom
R113,64.5,65.2,270.0,bottom
R114,80.9,86.8,270.0,bottom
R115,80.9,83.7,270.0,bottom
R116,91.6,42.3,0.0,bottom
R117,85.85,23.1,0.0,bottom
R118,82.1,23.5,0.0,bottom
R119,88.5,42.3,0.0,bottom
R120,75.5,20.1,0.0,bottom
R121,78.9,23.5,0.0,bottom
R123,75.5,21.7,0.0,bottom
R124,93.85,55.1,180.0,bottom
R125,70.6625,66.55,180.0,bottom
R126,70.6625,61.9,0.0,bottom
R127,88.5,45.5,0.0,bottom
R128,91.6,45.5,180.0,bottom
R129,76.5,28.0,180.0,bottom
R130,70.6625,69.7,180.0,bottom
R1301,97.7,48.225,90.0,bottom
R1302,95.5,48.225,90.0,bottom
R131,83.7,43.9,180.0,bottom
R132,83.7,45.5,0.0,bottom
R133,67.4625,69.9,0.0,bottom
R134,78.6,92.8,90.0,bottom
R135,65.2,20.5,270.0,bottom
R136,89.6,65.9,270.0,bottom
R137,61.7,20.5,270.0,bottom
R138,55.9375,17.2,180.0,bottom
R139,92.6,73.2625,90.0,bottom
R140,64.1,22.9,0.0,bottom
R1401,68.4,84.5,0.0,bottom
R1402,68.325,82.9,0.0,bottom
R141,61.5,6.5,0.0,bottom
R142,65.1,31.3,90.0,bottom
R201,43.3,53.2,0.0,bottom
R202,59.7,86.8,180.0,bottom
R203,43.9,51.6,0.0,bottom
R204,51.1,56.0,270.0,bottom
R205,49.0,56.0,270.0,bottom
R301,15.8,35.6,270.0,bottom
R302,8.7,34.5,270.0,bottom
R303,15.65,25.7,90.0,bottom
R304,9.0,29.2,90.0,bottom
R305,5.1,30.1,0.0,bottom
R306,18.025,41.5,0.0,bottom
R307,2.05,30.1,180.0,bottom
R308,18.225,28.925,0.0,bottom
R309,14.9,41.51,0.0,bottom
R310,18.9,21.4,90.0,bottom
R311,18.225,27.375,180.0,bottom
R312,20.5,21.4,90.0,bottom
R313,14.9,39.9,0.0,bottom
R314,18.025,39.9,180.0,bottom
R315,22.8,24.8,180.0,bottom
R316,10.7,40.3,270.0,bottom
R317,7.5,40.3,90.0,bottom
R318,5.1,17.3,0.0,bottom
R319,17.45,8.3,0.0,bottom
R320,31.0,26.9,180.0,bottom
R404,59.7,88.4,0.0,bottom
R501,19.025,79.35,0.0,bottom
R502,19.025,80.875,180.0,bottom
R506,12.0,62.61,180.0,bottom
R507,8.975,68.6,180.0,bottom
R508,12.0,64.11,180.0,bottom
R509,12.0,61.1,180.0,bottom
R601,5.0,86.3,270.0,bottom
R701,18.0,44.7,180.0,bottom
R702,10.675,43.4,270.0,bottom
R801,7.0,72.9,90.0,bottom
R802,4.85,57.35,270.0,bottom
R803,4.85,59.75,0.0,bottom
R804,17.25,21.35,270.0,bottom
R805,2.05,28.5,0.0,bottom
R806,5.1,28.5,0.0,bottom
R807,17.1,43.9,90.0,top
R808,12.3,43.9,90.0,top
R901,53.4,86.7,270.0,bottom
R902,41.25,81.226671,270.0,bottom
R903,42.35,78.926671,180.0,bottom
R904,55.35,86.7,270.0,bottom
R905,10.8,83.0,90.0,bottom
R906,7.5,80.0,180.0,bottom
TH101,64.5,72.7,90.0,bottom
TH201,50.0,56.0,180.0,top
TH801,7.0,75.95,90.0,bottom
TP101,89.8,39.8,180.0,bottom
TP102,91.1,30.5,180.0,bottom
TP103,81.1,30.5,180.0,bottom
TP104,77.95,25.9,180.0,bottom
TP105,82.3,39.8,180.0,bottom
TP106,85.4,74.2,270.0,bottom
TP107,68.1,61.4,270.0,bottom
TP108,67.45,96.8,270.0,bottom
TP110,64.7,68.7,270.0,bottom
TP112,81.8,71.9,180.0,bottom
TP1401,64.3,86.5,270.0,bottom
TP1501,91.9,34.3,180.0,bottom
TP1502,93.4,65.6,180.0,bottom
TP1503,91.6,87.1,90.0,bottom
TP1504,98.2,61.5,90.0,bottom
TP1505,98.4,72.2,90.0,bottom
TP1506,94.0,78.8,180.0,bottom
TP1507,94.8,70.1,270.0,bottom
TP201,16.9,63.9,0.0,bottom
TP202,27.0,5.4,0.0,top
TP203,8.1,5.4,0.0,top
TP301,15.35,37.9,270.0,bottom
TP302,20.175,32.7,270.0,bottom
TP303,15.55,33.1,270.0,bottom
TP304,20.25,30.65,270.0,bottom
TP305,8.4,37.6,270.0,bottom
TP306,59.55,78.2,90.0,bottom
TP307,54.35,78.2,90.0,bottom
TP308,51.8,90.3,90.0,bottom
TP401,74.7,63.5,180.0,bottom
TP402,71.0,12.4,0.0,top
TP403,52.0,12.4,0.0,top
TP501,33.85,94.1,0.0,bottom
TP502,9.2,70.5,0.0,bottom
TP503,9.3,61.1,0.0,bottom
TP505,22.0,67.775,0.0,bottom
TP601,7.55,97.05,90.0,bottom
TP602,33.5,69.0,270.0,bottom
TP603,2.841908,73.55154,180.0,bottom
TP604,30.75,19.6,180.0,bottom
TP605,28.3,86.6,90.0,bottom
TP606,2.5,64.9,90.0,bottom
TP607,19.2,53.15,90.0,bottom
TP608,17.6,86.5,180.0,bottom
TP901,8.1,78.2,270.0,bottom
U1002,31.6,87.6,180.0,bottom
U1003,22.9,90.0,0.0,bottom
U1004,22.9,86.5,180.0,bottom
U101,86.1,37.2,0.0,bottom
U102,63.0,57.9,90.0,bottom
U104,71.7,79.5,90.0,bottom
U105,85.7,25.95,270.0,bottom
U106,86.67,59.725,0.0,bottom
U107,83.375,50.0,270.0,bottom
U108,91.0,50.0,270.0,bottom
U109,89.0,71.95,90.0,bottom
U110,95.6,83.6,0.0,bottom
U111,97.35,77.95,180.0,bottom
U1501,83.775,83.1,0.0,bottom
U301,12.3,34.7,0.0,bottom
U302,18.365,35.55,270.0,bottom
U501,14.95,77.55,90.0,bottom
U601,29.5,75.8,270.0,bottom
U701,9.3,47.9,270.0,bottom
U702,16.6,47.9,270.0,bottom
U801,37.0,57.9,270.0,bottom
U802,12.4,56.1,180.0,bottom
U901,44.75,81.426671,0.0,bottom
