# timestamp: 2026-08-03T23:54:33
# channel: 2
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# vmin_V: 0.0
# vmax_V: 36.0
# vstep_V: 0.5
# ilim_A: 0.05
# settle_s: 0.6
# dmm_range: AUTO
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,i_psu
0,3.5952719000633806,0.0,0.020015591,0.0001191745263849631,0.019,0.0
1,7.130347399972379,0.5,0.4995800803333334,0.0002934532132152137,0.49899999999999994,0.0
2,9.264732900075614,1.0,0.9969945106666667,4.32961081084136e-05,0.996,0.0
3,11.366423100000247,1.5,1.4959018433333335,5.988175041974725e-05,1.495,0.0
4,13.503878899849951,2.0,2.00137072,0.00012179719331753966,2.001,0.0
5,17.045905499951914,2.5,2.5004275766666666,3.320902036094788e-05,2.5,0.0
6,19.180321499938145,3.0,2.99614027,1.550185472788275e-05,2.9949999999999997,0.0
7,21.309337900020182,3.5,3.504156483333334,0.00010629780634301851,3.503,0.0
8,23.452129499986768,4.0,4.0001674199999995,9.109506023707047e-06,4.0,0.0
9,25.579807499889284,4.5,4.49761887,4.049439343910277e-05,4.496,0.0
10,27.715927500044927,5.0,4.9949102666666665,7.116735229930708e-05,4.993,0.0
11,29.85851090005599,5.5,5.500382463333334,1.7895000232885262e-05,5.499,0.0
12,31.95885100006126,6.0,5.998256426666667,7.160067411246005e-05,5.9959999999999996,0.0
13,34.09663420007564,6.5,6.493401463333334,3.216808718794154e-05,6.492999999999999,0.0
14,36.223706000018865,7.0,6.992264600000001,0.00010053458559109261,6.992,0.0
15,38.35664199991152,7.5,7.4969295533333336,8.568123851424154e-05,7.4959999999999996,0.0
16,40.49648069986142,8.0,7.99561275,0.00011788360233713595,7.994,0.0
17,42.62684049992822,8.5,8.491256846666667,2.5014814277428947e-05,8.49,0.0
18,44.75457559991628,9.0,8.997574066666667,0.00016554507251378102,8.996,0.0
19,46.89898669999093,9.5,9.49507821,6.321882314673607e-05,9.494,0.0
20,49.02787790005095,10.0,9.99083862,9.4136660764917e-05,9.99,0.0
21,51.14613369992003,10.5,10.489302099999998,9.07833134454555e-05,10.488,0.0
22,53.27536379988305,11.0,10.993341766666667,0.00012327490958568665,10.991999999999999,0.0
23,55.40503580006771,11.5,11.492650266666667,4.625865684795794e-05,11.491,0.0
24,57.5459489999339,12.0,11.989550933333334,7.816088109332505e-05,11.988,0.0
25,59.675093499943614,12.5,12.489530533333332,7.073657705358482e-05,12.488999999999999,0.0
26,61.80299860006198,13.0,12.995317833333331,2.772586037098886e-05,12.993,0.0
27,63.94260809989646,13.5,13.4934861,1.660451745735206e-05,13.491999999999999,0.0
28,66.07905319985002,14.0,13.993200199999999,0.0001539936362323316,13.991999999999999,0.0
29,68.19564280007035,14.5,14.499606899999998,8.690155349554118e-05,14.497,0.0
30,70.32121569989249,15.0,14.999129166666668,0.00011021616638816781,14.997,0.0
31,72.4561767000705,15.5,15.49653486666667,0.00014640465611898365,15.495,0.0
32,74.5922564000357,16.0,15.996549233333333,7.783458956875935e-05,15.995,0.0
33,76.71821339987218,16.5,16.5019757,2.9880261042385453e-05,16.501,0.0
34,78.85435939999297,17.0,16.999954066666664,6.629678222378827e-05,16.998,0.0
35,80.99333560001105,17.5,17.4978459,3.9421694534967916e-05,17.495333333333335,0.0
36,83.11879349988885,18.0,17.9945726,0.00017492658459982238,17.993,0.0
37,85.24352420005016,18.5,18.501755733333336,5.965000698593498e-05,18.499,0.0
38,87.36270389985293,19.0,18.997700066666667,6.842414291270395e-05,18.996,0.0
39,89.49661140004173,19.5,19.496838566666668,7.210841374848236e-05,19.495,0.0
40,91.64495650003664,20.0,20.001996633333334,8.21626638660237e-05,20.0,0.0
41,93.76343089994043,20.5,20.501782333333335,6.16410847844466e-05,20.5,0.0
42,95.89875940000638,21.0,20.99745126666667,0.00019128098006189367,20.996,0.0
43,98.04468359984457,21.5,21.495282500000002,6.115979071117018e-05,21.493,0.0
44,101.59574500005692,22.0,21.999592500000002,0.0009565331829052699,21.999,0.0
45,103.75783819984645,22.5,22.495354866666663,0.00022383869936333834,22.494,0.0
46,105.86492429999635,23.0,22.993333733333333,4.557481029475118e-05,22.992,0.0
47,108.0223026999738,23.5,23.48912586666667,6.887788711313009e-05,23.488,0.0
48,110.15815759985708,24.0,23.997332733333334,9.58869299401347e-05,23.996,0.0
49,112.30553859984502,24.5,24.493900166666663,0.00010750089922001034,24.493,0.0
50,114.44323009997606,25.0,24.992694099999998,9.109506023823364e-05,24.992,0.0
51,116.57626280002296,25.5,25.498088,0.0001192999999997113,25.497,0.0
52,118.7114494999405,26.0,25.9957687,0.0002733179101335058,25.995,0.0
53,120.84764399984851,26.5,26.494184933333333,0.0001047063672062008,26.493,0.0
54,122.99182730005123,27.0,26.990921333333333,0.0002366813540047376,26.99,0.0
55,125.12801579991356,27.5,27.499774266666666,0.00034300789106539404,27.498,0.0
56,127.25833450001664,28.0,27.99662996666667,0.00015780016899059716,27.995,0.0
57,129.39811449986883,28.5,28.4973224,5.9600000000159525e-05,28.496,0.0
58,131.56341840000823,29.0,28.994207900000003,0.00016418309900950487,28.994,0.0001
59,133.6783402999863,29.5,29.502424666666666,3.44100760437938e-05,29.501,0.0
60,135.84403060004115,30.0,30.001417433333334,7.504800685865285e-05,30.0,0.0
61,137.97001910000108,30.5,30.49896886666667,0.00023162245861212794,30.498,0.0
62,140.09759230003692,31.0,31.006629033333336,0.000130009897060848,31.005,0.0
63,142.24418139993213,31.5,31.5022721,0.00024285631554516913,31.501,0.0
64,144.37501469999552,32.0,32.001036199999994,0.00015778127265452535,32.0,0.0
65,146.5183715999592,32.5,32.497017199999995,0.0003026340364194902,32.495,0.0
66,148.65339639992453,33.0,33.004627666666664,0.00015780016899193976,33.005,0.0
67,150.79451889987104,33.5,33.499266799999994,0.00035779999999974166,33.498,0.0
68,152.94067259994335,34.0,33.99522793333333,0.00024104373738933755,33.994,0.0
69,155.06905040005222,34.5,34.49234206666667,6.887788711518125e-05,34.491,0.0001
70,157.24394720001146,35.0,34.99722906666667,0.00018138140294417506,34.996,0.0
71,159.3749681999907,35.5,35.49427360000001,4.556391115847732e-05,35.493,0.0
72,161.49216459994204,36.0,35.988366066666664,9.585063032401119e-05,35.987,0.0001
