# timestamp: 2026-08-04T23:04:01
# quantity: current
# channel: 2
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# min_A: 0.0
# max_A: 2.0
# step_A: 0.025
# companion: 2.0
# settle_s: 0.6
# dmm_range: 2
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,aux_psu,temp_c
0,2.059404900064692,0.0,0.0005952096656666666,1.570852363417214e-05,0.0007,0.001,52.2
1,4.199661700055003,0.025,0.024798465966666666,1.0283589789723968e-05,0.024899999999999995,0.002,51.3
2,6.345965699991211,0.05,0.04994772636666667,1.1997627268893725e-05,0.05000000000000001,0.003,50.2
3,8.476307899923995,0.075,0.07485949616666666,4.534665957191002e-06,0.0749,0.004,49.5
4,10.62009990005754,0.1,0.10012750166666667,1.028376299480904e-05,0.10010000000000001,0.007,49.1
5,12.759684700053185,0.125,0.124979899,6.855457096362773e-06,0.125,0.008,48.8
6,14.895902700023726,0.15,0.14975214333333334,1.7135755989502414e-06,0.1497,0.011,48.4
7,17.05947840004228,0.175,0.1749677026666667,1.1997338593759281e-05,0.17489999999999997,0.013,48.1
8,19.19562299991958,0.2,0.19986957733333335,1.4941652162105728e-05,0.1998,0.015,47.8
9,21.33038349985145,0.225,0.2250950323333333,1.0703356311609738e-05,0.2251,0.016,47.5
10,23.458093399880454,0.25,0.24989894199999999,4.534785992744866e-06,0.2499,0.017,47.2
11,25.60160949989222,0.275,0.27464248966666666,7.470826081048269e-06,0.2747,0.02,47.1
12,27.746318700024858,0.3,0.29979076033333335,1.0425788715182785e-05,0.2998,0.021,47.0
13,29.87163809989579,0.325,0.3246688853333333,1.0703356311609736e-05,0.3247,0.024,46.7
14,32.009504299843684,0.35,0.34986564400000003,1.634994944945889e-05,0.34979999999999994,0.026,46.7
15,34.14973539998755,0.375,0.3746853863333333,1.1239308000634342e-05,0.3746,0.028,46.4
16,36.29616510006599,0.4,0.3994200273333333,4.534676872001602e-06,0.3993,0.03,46.3
17,38.421855399850756,0.425,0.424582152,3.427728548153344e-06,0.42449999999999993,0.031,46.2
18,40.596093100029975,0.45,0.449452361,0.0,0.4493,0.033,46.2
19,42.727399999974295,0.475,0.474662973,9.068917300304746e-06,0.47459999999999997,0.035,46.0
20,44.8452135999687,0.5,0.499491621,5.937000000011405e-06,0.4995,0.036,45.9
21,46.995530099840835,0.525,0.5242915726666667,5.141881497420545e-06,0.5243,0.038,45.7
22,49.14512100000866,0.55,0.549618951,1.6349949449432007e-05,0.5495,0.041,45.6
23,51.27197519992478,0.575,0.574414944,1.1238955823353859e-05,0.5743,0.043,45.6
