# timestamp: 2026-08-04T16:04:26
# quantity: current
# channel: 2
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# min_A: 0.0
# max_A: 2.0
# step_A: 0.025
# companion: 2.0
# settle_s: 0.6
# dmm_range: 2
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,aux_psu,temp_c
0,2.5894467001780868,0.0,0.000618958721,7.854262006068323e-06,0.0007,0.0,37.6
1,4.732301300158724,0.025,0.0247895601,0.0,0.025000000000000005,0.001,37.9
2,6.8690749001689255,0.05,0.049969496333333335,1.2939942111670521e-05,0.0502,0.003,37.6
3,9.013542900094762,0.075,0.07486048569999999,8.569667780605584e-06,0.0751,0.005,37.8
4,11.15821470017545,0.1,0.10015026133333334,9.06946284701412e-06,0.1004,0.008,38.2
5,13.28420910006389,0.125,0.12501750166666667,3.4283058984382543e-06,0.1253,0.008,38.4
6,15.422212600009516,0.15,0.14976896533333334,1.187450000350371e-05,0.1501,0.011,38.7
7,17.56310850009322,0.175,0.174993431,1.293985034689902e-05,0.1754,0.013,39.0
8,19.712512800004333,0.2,0.19990520099999998,3.427728548185393e-06,0.2003,0.015,39.3
9,21.832933500176296,0.225,0.22465666433333334,4.534676871989487e-06,0.2251,0.016,39.5
10,24.012874900130555,0.25,0.24995138800000002,5.936999999997528e-06,0.2503,0.018,39.6
11,26.113883800106123,0.275,0.27470977833333327,5.141881497388496e-06,0.2752,0.02,39.9
12,28.266370200086385,0.3,0.299890704,9.542859057966216e-06,0.3003,0.021,40.0
13,30.413700900040567,0.325,0.32473716399999997,1.5708770448376246e-05,0.3253,0.023,40.2
14,32.54407970001921,0.35,0.349466858,9.542859057954703e-06,0.3499999999999999,0.026,40.4
15,34.66620670002885,0.375,0.37476356000000005,4.534785992756978e-06,0.3754,0.029,40.6
16,36.816607900196686,0.4,0.39950314933333336,4.534676872001602e-06,0.40009999999999996,0.03,40.6
17,38.96315080020577,0.425,0.42467615899999994,1.2939850346879917e-05,0.4253,0.031,40.7
18,41.09625140018761,0.45,0.44954240966666664,9.06946284701412e-06,0.4502,0.033,41.0
19,43.23103340016678,0.475,0.4742869463333334,1.7141529492351517e-06,0.4749999999999999,0.035,41.0
20,45.372354600112885,0.5,0.4996163036666667,5.937500007042564e-06,0.5004,0.036,41.1
21,47.5139418002218,0.525,0.5244004223333333,6.179505589667994e-06,0.5252,0.039,41.2
