# timestamp: 2026-08-04T22:46:30
# quantity: current
# channel: 1
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# min_A: 0.0
# max_A: 2.0
# step_A: 0.025
# companion: 2.0
# settle_s: 0.6
# dmm_range: 2
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,aux_psu,temp_c
0,2.605256700189784,0.0,0.0008564492773333333,5.937263500000005e-06,0.0008,0.001,43.6
1,4.751076100161299,0.025,0.024818256866666666,9.542807208748333e-06,0.0248,0.003,43.5
2,6.893782300176099,0.05,0.05001897350000001,9.069277359857218e-06,0.05000000000000001,0.004,43.4
3,9.022449600044638,0.075,0.07490204653333334,6.1796737181916125e-06,0.0749,0.005,43.5
4,11.165211000014096,0.1,0.10008000366666665,5.14188149740452e-06,0.10010000000000001,0.008,43.5
5,13.300373200094327,0.125,0.12493833833333334,7.470826081052864e-06,0.1249,0.009,43.5
6,15.443478200118989,0.15,0.15019347966666666,7.854101752172961e-06,0.1502,0.011,43.5
7,17.588554200017825,0.175,0.17493999566666665,7.85466869659278e-06,0.17489999999999997,0.014,43.5
8,19.717068400001153,0.2,0.199830985,1.6349677091615155e-05,0.1998,0.015,43.6
9,21.847797400085256,0.225,0.22495550666666667,7.854101752167716e-06,0.2249,0.017,43.6
10,23.99713270016946,0.25,0.24982571566666667,2.1061350439449134e-05,0.2497,0.019,43.6
11,26.14303100015968,0.275,0.27502841166666664,1.9085355179637306e-05,0.275,0.021,43.8
12,28.274947999976575,0.3,0.2997491993333333,6.179505589730217e-06,0.2997,0.022,43.8
13,30.417152000125498,0.325,0.324646126,1.4029430102454092e-05,0.3246,0.024,43.8
14,32.54829890001565,0.35,0.34982606233333335,6.856034446623648e-06,0.34970000000000007,0.026,43.8
15,34.69276600005105,0.375,0.37469627133333333,2.96850001404197e-06,0.3747,0.028,43.8
16,36.84271540003829,0.4,0.39988709233333336,3.4283058984382543e-06,0.3998,0.03,43.8
17,38.97749450011179,0.425,0.42461084866666665,2.968500014041973e-06,0.42449999999999993,0.032,43.9
18,41.10762730007991,0.45,0.44950183833333335,1.908535517966897e-05,0.4494,0.034,43.9
19,43.24266010010615,0.475,0.4747263036666666,4.534676872001602e-06,0.47470000000000007,0.035,43.9
20,45.4101150999777,0.5,0.49960442899999996,6.798699777552591e-17,0.4996,0.037,43.9
21,47.54234690009616,0.525,0.5248091039999999,6.855457096370787e-06,0.5247,0.039,43.9
22,49.66245130007155,0.55,0.5494695296666667,7.470826081048269e-06,0.5494,0.041,43.9
23,51.81160500016995,0.575,0.574851333,6.855457096306688e-06,0.5748,0.043,43.9
24,53.95354690006934,0.6,0.5995810266666667,9.542496126964521e-06,0.5995,0.045,43.8
25,56.09229820012115,0.625,0.6244809216666667,9.069462846989894e-06,0.6244,0.047,43.8
26,58.22475720010698,0.65,0.6497271576666667,1.0425266679216749e-05,0.6496,0.049,43.8
27,60.360461600124836,0.675,0.6745102866666667,7.85410175216247e-06,0.6744,0.05,43.9
28,62.49860760010779,0.7,0.6999019853333334,1.7135755989502414e-06,0.6998000000000001,0.052,43.9
29,64.64289460005239,0.725,0.724660376,6.855457096370787e-06,0.7245,0.054,43.9
30,66.7754789001774,0.75,0.7495761036666666,4.534240436239909e-06,0.7494,0.056,44.0
31,68.91162730008364,0.775,0.7748965550000001,6.17990590543527e-06,0.7748,0.058,44.0
32,71.05120860016905,0.8,0.7997014546666666,1.3711491542930334e-05,0.7996,0.06,44.2
33,73.22083090012893,0.825,0.8251287763333334,1.3711491542994434e-05,0.8249999999999998,0.062,44.3
34,75.35656790016219,0.85,0.8498940936666667,2.96850001406973e-06,0.8497,0.064,44.3
35,77.49243040010333,0.875,0.8753065726666667,1.4941652162148005e-05,0.8752999999999999,0.065,44.3
36,79.62160399998538,0.9,0.9000709006666666,1.0425788715180151e-05,0.9,0.067,44.5
37,81.75699970009737,0.925,0.9248253329999999,2.9690000000193173e-06,0.9247,0.069,44.5
38,83.89977110014297,0.95,0.9501972406666667,8.569610045573889e-06,0.9501,0.071,44.7
39,86.04236289998516,0.975,0.9749071433333333,1.1997627279318175e-05,0.9747,0.073,44.7
40,88.17130320006981,1.0,1.0002998300000001,2.5365742646401395e-05,1.0002,0.075,44.8
41,90.30956370010972,1.025,1.0250562433333332,7.46970102031315e-06,1.0249,0.077,44.9
42,92.44674610020593,1.05,1.04980078,2.188271463960096e-05,1.0497,0.079,45.1
