# timestamp: 2026-08-03T23:34:14
# channel: 1
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# vmin_V: 0.0
# vmax_V: 36.0
# vstep_V: 0.5
# ilim_A: 0.05
# settle_s: 0.6
# dmm_range: AUTO
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,i_psu
0,4.033793400041759,0.0,0.0319657409,2.716058522178736e-05,0.032,0.0
1,7.573695000028238,0.5,0.49601963766666674,0.0003700495107284007,0.49700000000000005,0.0
2,9.71335450001061,1.0,0.9968436506666666,6.205932389524482e-05,0.996,0.0
3,11.83527379995212,1.5,1.4990260966666666,4.3337946805760416e-05,1.5,0.0
4,13.970054700039327,2.0,1.99978595,8.535171527283254e-05,2.0,0.0
5,17.516886999830604,2.5,2.5019963366666667,1.8625306261300553e-05,2.502,0.0
6,19.661495900014415,3.0,2.993714563333333,5.0991578062665166e-05,2.994,0.0
7,21.779141099890694,3.5,3.496416083333333,3.361173356621173e-05,3.497,0.0
8,23.914996499894187,4.0,3.9964711966666666,3.226413695311438e-05,3.996,0.0
9,26.060074399923906,4.5,4.4976944266666665,6.996399812298466e-05,4.498,0.0
10,28.164694499922916,5.0,4.99880532,5.2113480022050626e-05,4.999,0.0
11,30.29568179999478,5.5,5.498953879999999,1.1929999999882313e-05,5.498,0.0
12,32.433841599849984,6.0,5.99126561,5.081702765813483e-05,5.992,0.0
13,34.56398539990187,6.5,6.4913754,0.0001180597090458093,6.491,0.0
14,36.69298959989101,7.0,6.993395933333335,2.982500013963165e-05,6.994,0.0
15,38.828087999951094,7.5,7.49344508,4.964064564464382e-05,7.494,0.0
16,40.963569399900734,8.0,7.994678253333333,0.00010447132349747982,7.994,0.0
17,43.108977699885145,8.5,8.495410376666667,5.957476507178574e-05,8.496,0.0
18,45.22799519984983,9.0,8.986143406666667,9.130767565445907e-05,8.985,0.0
19,47.336295099928975,9.5,9.486588223333333,0.00015913328040760279,9.486,0.0
20,49.47130519989878,10.0,9.98662445,8.191259426940765e-05,9.987,0.0
21,51.612293399870396,10.5,10.487948066666666,6.881819042459518e-05,10.487,0.0
22,53.736883600009605,11.0,10.988327266666666,8.525411036090857e-05,10.988,0.0
23,55.871724899858236,11.5,11.490710666666667,3.7303395734697106e-05,11.49,0.0
24,58.012116299942136,12.0,11.9821784,4.5921345798898606e-05,11.982,0.0
25,60.141994499834254,12.5,12.483931466666666,8.100008230432834e-05,12.484,0.0
26,62.79078929987736,13.0,12.986756300000001,8.533563148000705e-05,12.987,0.0
27,64.9322595000267,13.5,13.4896835,8.305847337832038e-05,13.488999999999999,0.0
28,67.06765490001999,14.0,13.992351200000002,6.560000000011001e-05,13.991999999999999,0.0
29,69.211946999887,14.5,14.484605266666668,6.370748255338369e-05,14.484,0.0
30,71.33846480003558,15.0,14.987449966666667,0.00010290317455411327,14.987,0.0
31,73.47529039997607,15.5,15.487118333333333,0.00011882644206298618,15.485999999999999,0.0
32,75.57606170000508,16.0,15.988527466666667,9.098628101685308e-05,15.988999999999999,0.0
33,77.71175889996812,16.5,16.4899545,0.00010603390967066134,16.489,0.0
34,79.84347379999235,17.0,16.99155156666667,0.00010848411558086961,16.991,0.0
35,81.97242189990357,17.5,17.484051166666664,0.00015371731630836502,17.483,0.0
36,84.1112289999146,18.0,17.9851243,3.363524936723869e-05,17.984,0.0
37,86.24319349997677,18.5,18.486792866666665,4.033191457695499e-05,18.486,0.0
38,88.37831039982848,19.0,18.988157266666665,0.00010025120115578487,18.987,0.0
39,90.49695669999346,19.5,19.490010799999997,9.188841058607386e-05,19.489,0.0
40,92.62031519995071,20.0,19.9915124,6.879651154001084e-05,19.99,0.0
41,94.75916359992698,20.5,20.483329033333334,0.00018941196723827123,20.482,0.0
42,96.89711209991947,21.0,20.984690466666667,6.913727889803013e-05,20.984,0.0
43,99.01724079996347,21.5,21.48575363333333,0.0001366801131590642,21.485,0.0
44,101.16175339999609,22.0,21.988099266666666,4.5278729368566746e-05,21.987,0.0
45,104.7293988999445,22.5,22.487393166666667,0.0005345339028862473,22.488,0.0
46,106.87055319990031,23.0,22.990242500000004,4.351167857633658e-15,22.991,0.0
47,109.01314149983227,23.5,23.481422600000002,0.00014909999999979107,23.482,0.0
48,111.14183730003424,24.0,23.98364576666667,0.0002605120790550826,23.983999999999998,0.0
49,113.27810989995487,24.5,24.486186966666665,0.0003046166333820001,24.487,0.0
50,115.41332000005059,25.0,24.9877839,0.00013769803920276886,24.987,0.0
51,117.55853209993802,25.5,25.4908519,9.58299013885044e-05,25.492,0.0
52,119.68788719992153,26.0,25.993770833333333,0.0002087500019962892,25.994,0.0
53,121.82549980003387,26.5,26.488926833333334,6.20336467842568e-05,26.489,0.0
54,123.96812370000407,27.0,26.990245466666664,0.0001642405958746134,26.99,0.0
55,126.11204060004093,27.5,27.493065,0.00023917171655415064,27.494,0.0
56,128.2422686999198,28.0,27.995795033333334,0.00013666986988086283,27.997,0.0
57,130.37770129996352,28.5,28.4977299,0.00014711478511662362,28.497,0.0
58,132.54106209985912,29.0,29.000131999999997,0.00017889999999987083,29.0,0.0
59,134.68349449988455,29.5,29.4931907,8.949999999963154e-05,29.494,0.0
60,136.812582799932,30.0,29.996387900000002,0.00013665895506694657,29.996,0.0
61,138.96162889990956,30.5,30.497974933333335,5.965000698593498e-05,30.498,0.0
62,141.09187139989808,31.0,31.001311333333334,9.585063032401119e-05,31.001,0.0
63,143.22705049999058,31.5,31.501506733333333,0.0002087500019962892,31.501,0.0
64,145.36762559995987,32.0,31.99444623333333,0.00010328796315897505,31.994,0.0
65,147.51151479990222,32.5,32.49619223333334,9.588692994142468e-05,32.497,0.0
66,149.63868339988403,33.0,32.99737166666666,4.5520251903349855e-05,32.998,0.0
67,151.7916615998838,33.5,33.4981635,5.1615114065690696e-05,33.498,0.0
68,153.91948309983127,34.0,33.99814026666667,7.888119759129138e-05,33.999,0.0
69,156.0611866998952,34.5,34.499806766666666,4.5520251903349855e-05,34.5,0.0
70,158.19725349987857,35.0,34.9906291,6.208969318737171e-05,34.991,0.0
71,160.3292749999091,35.5,35.49100346666666,7.890008449596988e-05,35.492,0.0
72,162.50932929990813,36.0,35.99176546666667,9.585063031995874e-05,35.992,0.0
